Timestamp,5. What is your affiliation with Granite School District? ,6. Which school do you represent or have students at? ,7. Which high school network do you belong to? ,"Which of the following, if any, does your feedback best pertain to? (You may choose more than one)","8. Please use this space to add any specific comments or information that you would like to share with the Population Analysis Committee and GSD School Board Members for evaluation. 
"
10/8/2025 16:12:20,,,,"The ALC Program, Morningside Closure","This feedback was sent to the boundaries email address Fri, Sept 5, 5:53 PM
""Granite School District Board of Education-
Thank you for your continued work on the school board and for your astute questions during this week's meeting during the sharing of the PAC recommendations. I am writing as the parent of a 1st grader in the ALC at Morningside, and am deeply concerned about the PAC recommendation to relocate the ALC to Woodstock Elementary.

The travel distance to Woodstock is unreasonable. We live up Emigration Canyon and during morning traffic the projected time to get to Woodstock Elementary from our home is 40 minutes (assuming good weather). This is prohibitively far and as a two working parent household this is not something that we will be able to accommodate twice a day, nor do we feel it is reasonable to ask Emigration families to do so. 
""All children...have a right to have the opportunity to make at least one year of academic growth during a school year"" (graniteschools.org). Many ALC kids struggle in a traditional classroom setting - if the work is too easy or not aligned with needs of gifted and high ability students, then we are not meeting the needs of the students and they fall short of their potential. This can translate to boredom causing behavioral issues or, as in the case of my daughter, trouble connecting socially with her peers that don't see the world the same way she does. The ALC classroom this year has been instrumental in helping her ""find her people"". The reasoning for reducing the ALC program presented in the meeting was highly editorialized and used flawed logic. My understanding is that kids going through the ALC program are highly successful in their future education - please provide any data that the ALC is not meeting learning needs of students, or somehow failing students that might be in the top 6% vs 3%, to justify reducing access to this program. If the merits of the ALC program need to be evaluated, this should not be done through the boundary analysis of one area, but separately across the entire district for equity and appropriate resource allocation. 
3 different schools in 3 years. Like most ALC kids, my daughter went to her boundary school (Eastwood) for kindergarten. If the ALC moves these kids have to endure 3 different schools in 3 years, which is very upsetting.  And with the Eastwood closure we can't even return to her previous school for some consistency. How is this constant school change in the best interest of the children?
Concerns for planned attrition. The stated goal to reduce the number of ALC spots conflicts with the desire to increase special programming to draw families to the district. Students test again in 2nd grade to continue the program - if there are fewer spots planned to be available in subsequent years and a student isn't able to continue in the ALC we would be stuck with a 4th new school in 4 years. It is simply not worth the risk of further disruption to our daughter. Again, if a smaller ALC program is desired this needs to be evaluated at a whole district level so that locations can be chosen that actually make sense, rather than being decided as part of one area study.
Disrupted feeder patterns. Moving ALC students to Woodstock separates them from the feeder patterns to Churchill and Skyline.
Families with siblings have to deal with multiple schools. Most families do not have all kids in ALC or all kids in DLI. Splitting up families will lead to fewer students choosing French or ALC so that their kids can stay together. This will have the opposite of the intended impact on enrollment, particularly for the DLI program. Without a safety net of staying at the boundary school, if a student chooses to stop participating in DLI under this program they would be required to change schools.
No clear projections of increased DLI enrollment to justify removing boundary and ALC kids from Morningside. The stated goal to draw out-of-district kids to DLI is both flawed and is clearly biased against the needs of in-district children. Butler Elementary (Canyons district) has a French DLI program in Cottonwood Heights <5 miles from Morningside. Why does the PAC think it will attract these children to Morningside instead?

Given all of these factors, with the long drive and considering our youngest child entering K in 2027, if the ALC moves not only will we not follow it, but I have already started exploring our out-of-district options. Indian Hills has an advanced program only 12 minutes from our house, vs a 40 min drive to Woodstock. We will absolutely stay at Morningside if the ALC stays, but I suspect we are not alone in needing to leave the district to meet the needs of our daughter and our family if the program moves so far away or is eliminated. Please vote to keep the ALC at Morningside. 

Thank you,
[name removed]"""
10/8/2025 16:15:02,,,,Morningside Closure,"This feedback was sent to the boundaries email Fri, Sept 5 8:51 PM

""To whom it may concern,

Many students with IEPs attend Morningside on permit. With the closure of that school, I’m wondering:

Will students on special permits be allowed to follow their peers to the newly assigned schools?
Will their permits automatically transfer, or will families need to reapply?
Will any priority or consideration be given to these students, given their needs and established support systems?

This transition will be especially sensitive for these families, and I want to be able to give them accurate information and reassurance.



Kind Regards,

[name removed]"""
10/8/2025 16:15:56,,,,Eastwood Closure,"This feedback was submitted to the boundaries email Sat, Sept 6 9:17 PM
""Dear Granite School District,

Please do not close Eastwood. It is an excellent school. There is a good possibility we would leave GSD if Eastwood is closed. Here are some of the reasons why you should not close Eastwood, in my opinion:

We chose Eastwood. Last year, we tried the Morningside Advanced Learning Program (4th grade) and the Morningside French Immersion (1st grade). This year, we are back at Eastwood because we and our children much preferred Eastwood, where they had been for all prior years. The community, the teachers, the emphasis on STEM--we feel very fortunate to have found such a great school.

We live in Emigration Canyon, so we live within the Eastwood boundary and are bused to Eastwood. If our boundary school switches to Oakridge, it would be a significantly farther bus ride. Moreover, because of the longer ride through the canyon, middle schoolers--who already need to be picked up before 6:30am in our neighborhood--would need to be picked up even earlier. Numerous studies have shown that earlier start times are detrimental to children's health and learning. 

Many Eastwood families are from out of boundary. If Eastwood is closed, many of those families will simply leave GSD rather than go to Oakridge. The assumption that ANY Eastwood families would go to Oakridge is false. There are many schools with open spots, including Salt Lake City schools and private schools. Closing Eastwood will likely lead to a decline in GSD enrollment, which will lead to closing more schools, leading to a further decline in GSD enrollment, etc. 

Look what happened to Canyon Rim.

Other closed schools have turned into attractive nuisances during the time between their closure and re-purposing the land. I doubt this would happen to Eastwood as the land is so valuable, with proximity to freeway and mountains. But it begs the question--is this why it is being chosen for closure? 

I don't care if the class sizes fluctuate or we have to have split classes occasionally. That is better than the alternative--for us, for GSD, and for the future of public education.

Sincerely,
[Name removed]"""
10/8/2025 16:16:38,,,,"The ALC Program, Morningside Closure","This feedback was submitted to the boundaries email Mon, Sept 8, 1:34 PM

""Hello,

I'm writing to the GSD school board in regards to the proposed changes to the Morningside ALC program location. It is my understanding that you are considering moving Morningside ALC to Woodstock Elementary. If this were to happen I would remove my child from the ALC program for the following reasons. 

I currently have a 5th grader in Morningside ALC who will be attending Wasatch Jr. next year, as many Morningside ALC families do. I also currently have a 2nd grader in Morningside ALC. It would be an impractical burden for families to transport children across the district.
It has been stated the ALC program should be serving the top 2% of academically gifted students. Would it not then make sense for these children to feed into the top High School in the district and state? Why send them across the district? Parents who want their children in the ALC program will want them going to Skyline High. The program should be located near there for practicality in multiple child families and consistency with friends.
Please reconsider moving Morningside ALC to Woodstock. A cross valley commute is not what my family signed up for when we entered this program. We would love to stay in ALC, however, this proposal is impractical and unfair to the majority of students who attend Morningside ALC and live north of Morningside. 

Thank you,
[name removed]"""
10/8/2025 16:51:16,C) I am an employee of Granite School District,3. Driggs El,Olympus,"The ALC Program, A Boundary Change, Eastwood Closure, Morningside Closure","Moving the ALC program from Morningside to Eastwood would take them from a building in our condition to an even worse building. 
P.S. question 5 should allow multiple selections. I am a parent, employee, and a resident. "
10/8/2025 17:09:33,,,,A Boundary Change,"This feedback was sent to the boundaries email Tue, Sept 9 12:04 PM
""Good Afternoon,

I was glad to see Driggs remain open in the first boundary proposal. I have two children who currently attend Driggs, and based on our location, they will continue there. However, I am concerned about the two areas proposed to shift from Driggs to Cottonwood.

Why are Driggs students being so disproportionately affected? While it is difficult that Eastwood is closing, those students are at least moving together.  Traditional students and program groups at Morningside are also staying intact. At Driggs, however, it feels as though students are being split apart. This raises real concerns about the impact on established friendships and student emotional well-being.

I respectfully ask that you consider:

Whether priority permits could be offered to students who have previously attended Driggs.

Reducing the number of students reassigned from Driggs to Cottonwood.

Exploring alternative ways to support Cottonwoods enrollment, such as moving the French program there. This would keep program groups together and maintain continuity through the feeder schools.

Thank you for your time and for considering the perspective of families directly impacted by these changes.

Warmly,
[Name removed]"""
10/8/2025 17:50:10,"A) I am a parent / patron with students attending one of the schools in the boundary study., C) I am an employee of Granite School District",5. Morningside El,Skyline,"The DLI Program, Morningside Closure","Could you please consider if you are moving ALC to another school, to move Eastwood students to Morningside along with the DLI?  "
10/8/2025 20:57:53,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,"The ALC Program, Eastwood Closure","I strongly oppose the closure of Eastwood and fully support the idea of bringing Morningside’s ALC program with Eastwood.  The north section of Morningside’s boundary should also go to Eastwood, not to Rosecrest.  Eastwood’s demonstrated record of academic strength, the high number of GT certified teachers already in place at Eastwood, and the Gold STEM designation all makes this an excellent fit.  ALC families with multiple children that may not all test into ALC would have a single school where every child regardless of ALC has a strong academic program to attend.  Morningside Elementary should be closed altogether.  A French DLI standalone school is destined to fail.  French immersion is NOT a draw that most parents want.  I was highly interested in DLI programs for my children in Chinese or Spanish, but would never consider enrollment in a French Immersion program.  We were accepted into a Chinese DLI program in the Canyons school district, but ultimately CHOSE Eastwood (again due to the overall strength of its academic program).  Instead, Morningside’s DLI program could be moved to Oakridge and the traditional students divided between other neighboring schools including Eastwood as mentioned above to bolster enrollment.  
Eastwood is perfectly positioned in terms of location, accessibility, and reputation for academic excellence to become a magnet STEAM/ALC school.  The visibility from the freeway (especially if a new school were built on the property) would highly increase the likelihood of attracting out of boundary students.  Oakridge on the other hand is the poorest choice for future growth.  No one outside of residents of Olympus Cove even knows that Oakridge exists, but everyone who has ever driven down 1-215 knows where EASTWOOD is.  
Regarding pick up and drop off at Eastwood – I can personally attest to this as I have lived on Eastwood Ave for over 10 years and commute past Eastwood elementary every day.  Now that I have school-age children I drop my children off (at the south end of the property), then turn onto Wasatch Blvd as I head north onto I-215 and Salt Lake City.  I have NEVER encountered a single traffic delay on Wasatch Blvd during Eastwood’s school drop off nor pick up times.  The traffic light at the intersection of 3300S, I-215 and Wasatch Blvd and the one-way drop off circle in the Eastwood parking lot (in addition to the second drop off/pickup location on Eastwood Ave) allows for effective traffic flow and the claim that pick-up and drop off would be difficult (even with increased enrollment) is FALSE.  
Finally, more than half of Eastwood families have indicated that they will not attend Oakridge if Eastwood were to close.  This is not an “emotional” response to the PAC recommendations and parents are not lying about this.  Please stop gaslighting parents about this data.  This is based on real facts and considerations including commute times (we work in Salt Lake City), after-school options (again in Salt Lake City), and proximity to other excellent SLC public schools and charter schools (CRA).  Emigration Canyon students will not go to Oakridge if Eastwood closes (why would they??).  The projected enrollment at Oakridge in the PAC study slides for next year are therefore FAR overinflated.  Adding 100% of Eastwood’s enrollment is NOT realistic.  Oakridge is probably looking at gaining no more than 100-150 students (optimistically) if Eastwood closes, leaving it still well short of the 500 student “goal” of the PAC.  Therefore, this proposed merger would completely negate the stated goal of the PAC in the first place (i.e. it will still be a “too small school”), and Granite school district will have lost a substantial amount of Eastwood students to charters, private school, and the SLC district for NOTHING.  This proposition also leaves Churchill’s enrollment in the future under serious doubt.  
"
10/9/2025 9:41:16,,,,The ALC Program,"This feedback was submitted to the boundaries email Tue Sept 9 6:31 PM
""I am writing as a parent of a current Woodstock ALC student and wanted to share some questions and concerns regarding the recent communication about the proposed merge of the Morningside ALC program into Woodstock.

While I understand that this recommendation is still under consideration, I would like to better understand what this could mean for students currently enrolled at Woodstock. Specifically:

1. How will class sizes and staffing be adjusted to support the increased number of ALC students?

2. What resources or facilities will be expanded to ensure that all ALC students continue to receive the individualized attention and enriched instruction they need?

3. How will the district support a smooth transition for both Morningside and Woodstock families if the recommendation is approved?

I appreciate the careful thought that goes into these decisions and the opportunity for families to provide input. My main hope is that the high quality of education and student experience at Woodstock is preserved while also supporting the incoming ALC students and their families

[Name removed]

Thank you for your time and for keeping families informed throughout this process. I look forward to hearing more details and next steps."""
10/9/2025 9:42:17,,,,The ALC Program,"This feedback was sent to the boundaries email Tue Sept 9 8:46 PM
""Woodstock is already at capacity. Where are you gong to out these kids? 

You did this to Oakwood, which we were at before our kids were placed in ALC, and it’s been a disaster. Quite honestly I’m disappointed in the constant merging of schools and I don’t understand how any of this can be beneficial. 

[Name removed]"
10/9/2025 9:42:59,,,,The ALC Program,"This feedback was submitted to the boundaries email Wed Sept 10 9:22 AM
""Hello,

If the Morningside ALC program is moved to Woodstock, does that mean there will now be two ALC classes in each grade level at Woodstock, with a maximum of 30 students per ALC classes?

Beat,

[name removed]
Woodstock parent """
10/9/2025 9:43:34,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,"The ALC Program, Eastwood Closure","Move the Advanced Learning Center (ALC, gifted program) from Morningside to Eastwood. Eastwood’s central-east location (just off I-80/Wasatch) is more accessible to families from across the east bench who might attend an accelerated program. Eastwood could host the ALC (which draws ~100 students) with minimal disruption: those students would benefit from Eastwood’s STEM labs and high-performing culture. This would immediately raise Eastwood’s enrollment and utilization, securing its viability. = 446+ students. 
Benefits: 
High utilization score
High performing schools
Keep GOLD STEM
Minimal loss of teachers from either school.
Maximizes the competitive advantages of GSD to effectively compete with charter and private schools and attract out-of-district students.
No unsafe routes.
No increased bussing and the hazards and costs associated therewith.  The bus that is currently bussing kids to Morningside could also be used to alleviate the lengthier bus route caused by only 1 bus (for all kids) in Emigration Canyon.  That bus could do the elementary route for both neighborhoods.
Traditional students have priority for up to 5 years to go to any area school, so that they can stay with other family members and friends.  This will improve utilization scores and teacher resources at the schools they choose to attend and avoid splitting up friends and families.
PART II: Traditional Student Boundaries
For the northern portion of the current Morningside Boundary (already bussing, N. 3300 S.), re-draw boundaries to add to EW (already bussing).
Benefits:
Adds students to EW (21-46) traditional classroom for improved teacher resources
There is no split feeder at Rosecrest.  Split feeders hurt the emotional well-being of the ~5 kids from each grade that will be forced to go to a different junior high than all of their friends.
 No additional bussing.
For the southern portion of the current Morningside Boundary, re-draw boundaries to add the northern part (North of 4500) to Upland Terrace and the southern part (South of 4500 S) to Cottonwood, Driggs, or Oakridge.
 Benefits:
Adds students to Upland Terrace to help for improved teacher resources.
 If Cottonwood, helps for improved teacher resources at that school and leaves the Driggs boundary alone.  This section is already a bussing area (because it crosses 4500 S) so it could either walk or continue bussing.
*If Driggs, allows for additional capacity at Cottonwood if the Board chooses Cottonwood as its location for DLI.  (See below).  This section is already a bussing area (because it crosses 4500 S) so it could either walk or continue bussing.
If Oakridge, helps for improved teacher resources at that school.  This section is already a bussing area (because it crosses 4500 S) so it could continue bussing.  There is also a walking path over the freeway that would allow students to walk if it were properly cleared of snow and maintained. 
Re-boundary Penn to move 84 students who are closer to Rosecrest to Rosecrest to alleviate crowding at Penn, improve Rosecrest utilization and teacher resource scores, and give some room for Penn’s DLI program to grow (it currently turns away students.   
PART III: Cottonwood, Oakridge, DLI
Merge DLI with Cottonwood or with Oakridge at whichever building best fits the district’s goals;  merge CW and OR and leave DLI at Morningside; or merge OR and Morningside Traditional class at MS and move DLI to Upland Terrace.       	
Considerations for DLI + Cottonwood at Cottonwood:
Helps increase Cottonwoods utilization rate.
Puts DLI near boundary in great area to capture the students leaving Butler Elementary’s French program when it closes and draw in students from out-of-district.
Potential capacity issues if try to stay at Cottonwood campus and not sufficient attrition.
DLI will not be a standalone program school, which typically causes programs to fail and which the district has said it wants to avoid.
 As a program, DLI is already supposed to be a commuter program so it minimizes the risk of unsafe walking routes or increased hazardous bus routes.
   Considerations for DLI + Oakridge at Oakridge:
This and the next option are most in line with PAC recommendation.
Helps increase utilization rate of whichever building is used.
As a program, DLI is already supposed to be a commuter program so it minimizes the risk of unsafe walking routes or increased hazardous bus routes if DLI moves to Oakridge.
Potential traffic issues due to weather conditions and steep streets near Oakridge.
Oakridge has high student and teacher attrition.  The Board should study the root cause of those numbers.
  Oakridge has lower FCI score than Morningside.
Potential capacity issues.
 Considerations for either CW or Oakridge to merge at either building and leave DLI at Morningside.
 This and the prior option are most in line with PAC recommendation.
Morningside has a better FCI score.
Would require additional bussing from CW or Oakridge.
 Does not make sense to displace MS Trad students and replace them with OR trad students.  Consider keeping some MS trad students at MS.   
 Considerations for merging Oakridge with Morningside Traditional class at MS.  DLI goes to CW.
 Oakridge has lowest FCI score
  Oakridge students can catch the bus from Churchill to Morningside.
There is a protected walk over I-215 where students can also walk safely to MS.
 Keeps MS traditional kids together. 
Improves utilization score and teacher resources.
Keeps good testing scores.
Better options for pickup and drop off.
MS has low attrition and teacher turnover scores. 
Helps increase Cottonwoods utilization rate.
Puts DLI near the boundary in a great area to capture the students leaving Butler Elementary’s French program when it closes.
Potential capacity issues if try to stay at Cottonwood campus.
DLI will not be a standalone program school, which typically causes programs to fail and which the district has said it wants to avoid.
As a program, DLI is already supposed to be a commuter program so it minimizes the risk of unsafe walking routes or increased hazardous bus routes.
Program Swaps & Consolidation with Morningside: Granite’s recommendation currently is to close Eastwood completely and reconfigure Morningside into a single-program French immersion school. But an alternative path would be to keep Eastwood open and use it to relieve Morningside’s multi-program strain.
In essence, this alternative would consolidate Morningside into two other schools (French to Oakridge, ALC to Eastwood) rather than consolidating Eastwood into Oakridge. The net result is still the closure of one building (Morningside), but it maintains Eastwood and Oakridge as neighborhood schools, each now with a special program to bolster them (Oakridge gets French, Eastwood gets ALC).
This plan addresses Granite’s goals: 
educes one principal and building overhead (Morningside’s, which was on the table anyway), 
improves facility usage (Oakridge’s large building gets the DLI population; 
Eastwood gets the gifted program population), and does so without forcing any community into unsafe situations. 
Oakridge students would remain at Oakridge (plus new French students coming in), 
Eastwood students remain at Eastwood (plus new gifted students). It’s essentially a win-win: no one has to walk along Wasatch Blvd or get up at 5:30am for a bus, and both surviving schools gain something – Oakridge gets an exciting language program; Eastwood retains its STEM excellence and gains more bright students. A community member succinctly suggested this in a petition comment, noting “if Morningside is going to be broken up anyway, why not take the French Immersion to Oakridge…and move the ALC program to Eastwood as it has better accessibility for those coming from out of boundary.” 
It’s a logical solution that was not genuinely explored by the PAC, yet it accomplishes consolidation without sacrificing safety or quality."
10/9/2025 9:44:04,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,Eastwood Closure,I would like to see Eastwood stay open and an ALC program at Eastwood. We have and upcoming Preschooler who will be joining Eastwood as a kindergartner and a 1st grader. Both of which would be interested in the ALC program if it was offered at Eastwood along with Traditional students 
10/9/2025 9:44:19,,,,"The ALC Program, Morningside Closure","This feedback was sent to the boundaries email Wed Sept 10, 4:55 PM

Hi, my name is [name removed]. I am a student at Morningside Elementary in the ALC program. I have been in the program since 3rd grade. Before I moved into the ALC program, I was at Cottonwood Elementary for 1st and 2nd grade. At Cottonwood I was very bored in class and would even start crying, begging not to go to school because of it. Once I moved to the program, not only was I challenged in school, but made friends who have similar interests. Together, we have competed in debate tournaments, made it to the state level of National History Day, and just for fun made a slideshow about World War II. I may have found friends like these in a traditional classroom, but I didn't have to look far in the ALC program. The best part is, because I am still in the wider neighborhood, I am not cut off entirely from friends that live by me who go to their home schools. I don't feel isolated and separate from them like I might if I was at a school far away. Though the current plan won't affect me, because I will be in Junior High, I would hate for a kid like me to lose the opportunity to feel comfortable in an ALC program because there isn't one nearby. SAVE THE MORNINGSIDE ALC PROGRAM!

Sincerely, 
[name removed]"""
10/9/2025 9:47:16,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,"The ALC Program, A Boundary Change, Eastwood Closure, Morningside Closure","Alternative Configuration Proposal: Relocating Programs to Strengthen East Bench Schools

Part I: Advanced Learning Center (ALC) Relocation

One option worth serious consideration is relocating the Advanced Learning Center (ALC, gifted program) from Morningside Elementary to Eastwood Elementary.
Eastwood’s central-east location—just off I-80 and Wasatch Blvd—offers easier access for families across the east bench who might enroll in an accelerated program.

Eastwood could host the ALC (approximately 100 students) with minimal disruption. These students would directly benefit from Eastwood’s existing STEM infrastructure, high-performing environment, and GOLD STEM designation, while the addition would immediately strengthen Eastwood’s enrollment and utilization (raising it to approximately 446+ students).

Key Benefits:
	•	Boosts utilization to a strong, sustainable level.
	•	Preserves a top-performing, GOLD STEM school within Granite.
	•	Minimizes teacher loss and disruption for both Morningside and Eastwood.
	•	Enhances GSD’s competitive edge vs. charter and private schools by keeping high-caliber programming in-district.
	•	Avoids unsafe walking routes or new bussing hazards.
	•	The existing Morningside bus could serve both Eastwood and Emigration Canyon, improving efficiency and reducing route length.
	•	Traditional students retain priority for up to five years to attend their preferred area school, supporting family continuity and balanced resource distribution.

⸻
Part II: Boundary Adjustments for Traditional Students

Northern Morningside Boundary (north of 3300 S):
Students already being bused could be re-zoned to Eastwood.
Benefits:
	•	Adds 21–46 students to Eastwood’s traditional classrooms, improving resource alignment.
	•	Keeps feeder patterns consistent to Rosecrest, preventing split-feeder issues that negatively affect student well-being.
	•	Requires no additional bussing.

Southern Morningside Boundary (north/south of 4500 S):
	•	North of 4500 S → Re-zone to Upland Terrace.
	•	South of 4500 S → Re-zone to Cottonwood, Driggs, or Oakridge, depending on district goals.
Benefits:
	•	Adds students to schools needing higher utilization and balanced teacher resources.
	•	These areas already bus or can safely walk; no new transportation concerns.
	•	Provides flexibility for DLI program placement (see Part III).

Penn Boundary Adjustment:
Re-zone 84 students closer to Rosecrest to relieve Penn’s crowding, improve teacher resources, and allow Penn’s DLI program (currently turning away students) room to expand.

Part III: Dual Language Immersion (DLI) and School Consolidation Options

If the District’s intent is still to reduce one building, closing Morningside while strategically redistributing its programs could accomplish that—without endangering students or eroding program quality.

Option A: DLI → Cottonwood
	•	Increases Cottonwood’s utilization rate.
	•	Positions French DLI in a desirable boundary to attract students transitioning from Butler Elementary’s closing French program and other out-of-district families.
	•	Potential capacity constraints should be reviewed.
	•	Keeps DLI integrated within a larger school community, which aligns with GSD’s stated preference.

Option B: DLI → Oakridge
	•	Aligns with current PAC recommendation.
	•	Increases utilization at Oakridge.
	•	Maintains DLI’s commuter nature, minimizing walking/bussing safety issues.
	•	However, Oakridge’s steep streets, weather challenges, high attrition, and lower FCI scores should be reviewed before finalizing.

Option C: Merge Oakridge & Morningside (Traditionals at Morningside, DLI → Cottonwood)
	•	Keeps Morningside’s stronger FCI rating in use.
	•	Maintains low teacher turnover and strong academic outcomes.
	•	Provides a safer commute with an existing protected walkway over I-215.
	•	Improves utilization across schools while preserving community continuity.

Part IV: Holistic Program Swap Approach

Granite’s current plan would close Eastwood and turn Morningside into a single-program French DLI school.
An alternative, community-supported solution would reverse that:
	•	Keep Eastwood open and repurpose it to host the ALC gifted program.
	•	Move French DLI to Oakridge (which has the larger facility).
This preserves both Eastwood and Oakridge as neighborhood anchors while achieving consolidation by retiring Morningside, which was already under consideration for closure.

District-Level Advantages:
	•	Reduces administrative overhead (one principal/building).
	•	Optimizes facility utilization.
	•	Preserves safe routes, community trust, and academic excellence.
	•	Avoids bussing Emigration Canyon students long distances.

Outcome:
Oakridge gains a thriving language program; Eastwood retains its STEM identity and gains a complementary gifted population.
As one community member summarized in a petition:

“If Morningside is going to be broken up anyway, why not take the French Immersion to Oakridge and move the ALC program to Eastwood—it’s far more accessible for families coming from across the bench.”

This option fulfills the district’s consolidation objectives without sacrificing safety, data integrity, or educational quality—a true win-win for students, families, and the Granite community."
10/9/2025 9:53:25,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,Eastwood Closure,"As a parent of a First Grader and an incoming Kindergartener next year, keeping Eastwood open and welcoming the ALC is a strong fit for our family. It provides opportunities for both of our students and gives them a strong STEM education too! If Eastwood were to close we would not send our students to Oakridge as it only takes away opportunities from them, lower academic success and growth, no STEM program, longer bus ride, dramatic teacher loss, and a culture problem that is not being addressed but is well known in the area. Bringing the ALC will ensure strong academic performance for all students and will make for a forward thinking, close knit school culture."
10/9/2025 9:58:07,A) I am a parent / patron with students attending one of the schools in the boundary study.,"4. Eastwood El, 14. Wasatch Jr",Skyline,Eastwood Closure,The ALC program is a great fit for Eastwood. Eastwood's freeway access and extant culture of excellence are tailor-made for a magnet program. My older son turned down a spot in ALC because he preferred to stay at Eastwood. It would have been great if he had to choose between his school and the program. 
10/9/2025 10:08:18,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,Eastwood Closure,"The purpose of a study is to gather information, conduct research, and provide informed, data-based recommendations. It’s frustrating that the PAC “study” for Eastwood appears to rely mostly on personal observations and enrollment numbers rather than measurable data. To date, Eastwood parents have supplied more intentional data than the PAC itself. We continue to ask for measurable data that provides clear reasons for the recommendations, yet the PAC team cannot—or will not—provide this. Without transparent, consistent data collection, the process feels predetermined rather than research-driven. The community deserves clear numbers, objective analysis, and transparency before any decisions are made."
10/9/2025 10:11:50,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,Eastwood Closure,"Please consider stopping the PAC study. Please review the suggestion of moving Morningside ALC to Eastwood along with the traditional track. 
Eastwood is an amazing school. My child is thriving there and I want the rest of my children to attend and experience Eastwood. I feel SAFE with my child there. We live within SLC School District boundaries, and we opted for Eastwood as all of our nieces and nephews have attended and we were so impressed. Keep Eastwood open for future generations. Thank you."
10/9/2025 10:12:42,A) I am a parent / patron with students attending one of the schools in the boundary study.,4. Eastwood El,Skyline,"The ALC Program, Eastwood Closure","In early 2021, our family was in boundary for Morningside. As a former educator, I was asking family and friends about the schools in the area to make the best informed choice I could for our two school bound children. In our neighborhood, everyone said, “if your kid is in a program at Morningside, the school is great. If not, you need to go somewhere else.” So we did open enrollment at Eastwood due to it having a full day kinder option, great teachers, and a great academic reputation. Our children have thrived at Eastwood. The teachers are truly incredible and the school community is so warm and inviting. Our kids loving coming home and sharing the STEM activities they’ve completed and the hands on experiences that they’ve enjoyed. Eastwood is the answer to improve enrollment in Granite School District. Its easy location is a gateway to so many more families that would attend for ALC and a STEM education at a high performing school. Take this opportunity to embrace this school and community and see it thrive. "
